id,name,brand,categoryId,densityGml,kcal100,protein100,carbs100,fat100,fiber100,sugar100,aliases,verification,popularity,units
seed_olive_oil_curated,Olive Oil,,oil,0.91,884,0,0,100,0,0,evoo; extra virgin olive oil,verified,90,"[{""label"":""1 tbsp"",""grams"":13.6},{""label"":""1 tsp"",""grams"":4.5}]"
seed_avocado_oil_curated,Avocado Oil,,oil,0.91,884,0,0,100,0,0,,verified,85,"[{""label"":""1 tbsp"",""grams"":13.6},{""label"":""1 tsp"",""grams"":4.5}]"
seed_chicken_breast_raw,Chicken Breast,Raw (Skinless),meat,1,120,22.5,0,2.6,0,0,chicken breast; raw chicken breast,verified,80,"[{""label"":""1 cup, diced"",""grams"":140}]"
seed_egg_whites_raw,Egg Whites,Raw,meat,1,52,11,0.7,0.2,0,0,egg white; whites,verified,75,"[{""label"":""1 large white"",""grams"":33}]"
seed_greek_yogurt_0,GREEK Yogurt,Nonfat,dairy,1,59,10,3.6,0.4,0,3.2,yogurt greek nonfat; greek yogurt 0%,verified,70,"[{""label"":""1 cup"",""grams"":245}]"
seed_oat_flour,All-Purpose Oat Flour,flour,0.53,404,14,66,9,7,1,oat flour; ground oats,verified,65,"[{""label"":""1 cup"",""grams"":120},{""label"":""1 tbsp"",""grams"":8}]",
seed_rice_white_uncooked,Rice,White (Uncooked),rice_uncooked,0.85,365,7,80,0.6,1.3,0.1,white rice; rice dry; uncooked rice,verified,70,"[{""label"":""1 cup"",""grams"":185}]"
seed_whey_isolate_generic,Whey Protein Isolate (Generic),whey,0.5,380,85,5,2,0,2,whey isolate; protein powder isolate,verified,85,"[{""label"":""1 scoop"",""grams"":32}]",
seed_peanut_butter_smooth,Peanut Butter,Smooth,sugar,0.94,588,25,20,50,6,9,pb; peanutbutter,verified,75,"[{""label"":""1 tbsp"",""grams"":16}]"
seed_almond_milk_unsweet,Almond Milk,Unsweetened,liquid,1,15,0.6,0.3,1.2,0.2,0,unsweetened almond milk; almond beverage,verified,60,"[{""label"":""1 cup"",""grams"":240}]"